Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,="0743273567",="9780743273565",5,3.93,Scribner,Paperback,180,2004,1925,2023/06/15,2023/01/10,classics,classics (#1),read,"A masterpiece of American literature. The prose is stunning.",,,1,0
2,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,="0061120081",="9780061120084",5,4.27,Harper Perennial,Paperback,336,2006,1960,2023/03/20,2022/12/01,classics,classics (#2),read,"Atticus Finch is one of the greatest characters in fiction.",,,1,0
3,1984,George Orwell,"Orwell, George",,="0451524934",="9780451524935",5,4.19,Signet Classic,Mass Market Paperback,328,1961,1949,2022/11/10,2022/08/15,dystopia,dystopia (#1),read,"Chillingly relevant. Everyone should read this.",,,1,1
4,Dune,Frank Herbert,"Herbert, Frank",,="0441172717",="9780441172719",4,4.25,Ace Books,Mass Market Paperback,688,2005,1965,2023/08/01,2023/05/20,sci-fi,sci-fi (#1),read,,,,1,0
5,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",,="054792822X",="9780547928227",5,4.28,Mariner Books,Paperback,366,2012,1937,2021/07/22,2020/03/10,fantasy,fantasy (#1),read,"A perfect adventure story.",,,2,1
6,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,="0486415872",="9780486415871",4,4.23,Dover Publications,Paperback,430,2001,1866,2022/12/30,2022/06/15,classics,classics (#3),read,"Dense but rewarding. Raskolnikov is unforgettable.",,,1,0
7,The Road,Cormac McCarthy,"McCarthy, Cormac",,="0307387895",="9780307387899",5,3.98,Vintage,Paperback,287,2007,2006,2023/04/10,2023/01/15,,read (#1),read,"Devastating and beautiful.",,,1,0
8,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",,="0375704027",="9780375704024",4,4.02,Vintage,Paperback,296,2000,1987,2023/05/18,2023/02/28,,read (#2),read,,,,1,0
9,The Name of the Wind,Patrick Rothfuss,"Rothfuss, Patrick",,="0756404746",="9780756404741",5,4.55,DAW Books,Mass Market Paperback,662,2008,2007,2023/07/01,2023/03/10,fantasy,fantasy (#2),read,"One of the best fantasy novels I've ever read.",,,1,0
10,Sapiens,Yuval Noah Harari,"Harari, Yuval Noah",,="0062316117",="9780062316110",4,4.39,Harper Perennial,Paperback,464,2015,2011,2023/09/20,2023/06/01,,read (#3),read,,,,1,0
